,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Intangible assets,Intangible assets 4 4000 6000,4000,2020.0,£
1,96.0,0.0,Intangible assets,Intangible assets 4 4000 6000,6000,2019.0,£
2,96.0,1.0,Tangible assets,Tangible assets 5 56586 73755,56586,2020.0,£
3,95.0,0.0,Tangible assets,Tangible assets 5 56586 73755,73755,2019.0,£
4,95.0,1.0,Debtors,Debtors 6 155909 65489,155909,2020.0,£
5,96.0,0.0,Debtors,Debtors 6 155909 65489,65489,2019.0,£
6,96.0,1.0,Cash at bank,Cash at bank 2167 47192,2167,2020.0,£
7,96.0,0.0,Cash at bank,Cash at bank 2167 47192,47192,2019.0,£
8,96.0,1.0,Amounts falling due within one year,Amounts falling due within one year 7 163116 178373,163116,2020.0,£
9,96.0,0.0,Amounts falling due within one year,Amounts falling due within one year 7 163116 178373,178373,2019.0,£
10,90.0,1.0,NET CURRENT LIABILITIES,NET CURRENT LIABILITIES -5040 -65692,-5040,2020.0,£
11,84.0,0.0,NET CURRENT LIABILITIES,NET CURRENT LIABILITIES -5040 -65692,-65692,2019.0,£
12,95.0,1.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 55546 14063,55546,2020.0,£
13,95.0,0.0,TOTAL ASSETS LESS CURRENT LIABILITIES,TOTAL ASSETS LESS CURRENT LIABILITIES 55546 14063,14063,2019.0,£
14,96.0,1.0,PROVISIONS FOR LIABILITIES,PROVISIONS FOR LIABILITIES 9991 14013,9991,2020.0,£
15,95.0,0.0,PROVISIONS FOR LIABILITIES,PROVISIONS FOR LIABILITIES 9991 14013,14013,2019.0,£
16,92.0,1.0,NET ASSETS,NET ASSETS 45555 50,45555,2020.0,£
17,96.0,0.0,NET ASSETS,NET ASSETS 45555 50,50,2019.0,£
18,96.0,1.0,Called up share capital,Called up share capital 3 3,3,2020.0,£
19,96.0,0.0,Called up share capital,Called up share capital 3 3,3,2019.0,£
20,96.0,1.0,Retained earnings,Retained earnings 45092 47,45092,2020.0,£
21,59.0,0.0,Retained earnings,Retained earnings 45092 47,47,2019.0,£
