,label,t,t-1
0,Note,£,£
1,FIXEDASSETS,,
2,Tangibleassets9,68174,243864
3,Investments10,,
4,,68174,243864
5,CURRENTASSETS,,
6,Debtors11,2493048,1341101
7,Cashatbank,237549,422849
8,,2730597,1763950
9,CREDITORSAmountsfallingdue,1971364,2191347
10,withinoneyear13,,
11,NETCURRENTASSETS(LIABILITIES),759233,(427397)
12,TOTALASSETSLESSCURRENTLIABILITIES,827407,(183533)
13,,,
14,CREDITORSAmountsfallingdue,,
15,aftermorethanoneyear14,1075979,160056
16,,(248572),(343589)
17,CAPITALANDRESERVES,,
18,Called-upequitysharecapital17,10000,10000
19,Revaluationreserve18,5226,5443
20,Capitalcontribution19,200000,
21,Profitandlossaccount20,(463798),(359032)
22,DEFICIT21,(248572),(343589)
